numero,numero_certificado,nombre_area,superficie_certificada_ha,municipio,estado,anio_certificacion,vigencia_anio,tipo_propietario,region_conanp
1,CONANP-01/2002,Parque Ecológico Jaguaroundi,960.734884,Coatzacoalcos,Veracruz,2002,99.0,Empresa de Participación Estatal,Planicie Costera y Golfo de México
2,CONANP-02/2003,Rancho La Asunción con el Area Natural Protegida Yu-Balcah,572.0,Tacotalpa,Tabasco,2003,,Persona física,Planicie Costera y Golfo de México
3,CONANP-10/2004,Cerro Chango,700.0,Santiago Jocotepec,Oaxaca,2004,,Ejido (Tierras de Uso Común),Frontera Sur Istmo y Pacífico Sur
4,CONANP-13/2004,Área de Conservación San Pedro Tlatepusco,5050.0,San Felipe Usila,Oaxaca,2004,25.0,Comunidad (Bienes comunales),Frontera Sur Istmo y Pacífico Sur
5,CONANP-14/2004,Área de Conservación Santiago Tlatepusco,4300.0,San Felipe Usila,Oaxaca,2004,25.0,Comunidad (Bienes comunales),Frontera Sur Istmo y Pacífico Sur
6,CONANP-15/2004,Área de Conservación San Antonio del Barrio,1500.0,San Felipe Usila,Oaxaca,2004,25.0,Comunidad (Bienes comunales),Frontera Sur Istmo y Pacífico Sur
7,CONANP-16/2004,Área de Conservación la Tierra del Faisán,9670.0,San Felipe Usila,Oaxaca,2004,25.0,Comunidad (Bienes comunales),Frontera Sur Istmo y Pacífico Sur
8,CONANP-17/2005,Area de Preservación de la Naturaleza y Zona de Usos Múltiples para el Ecoturismo Kolijké,26.0,Zihuatehutla,Puebla,2005,,Persona física,Planicie Costera y Golfo de México
9,CONANP-24/2005,Rancho Media Luna,15000.0,Ocampo,Coahuila,2005,50.0,Persona física,Noreste y Sierra Madre Oriental
10,CONANP-25/2005,Cacalotepec fracción primera y fracción segunda,36.478,Xicotepec de Juárez,Puebla,2005,50.0,Persona física,Planicie Costera y Golfo de México
11,CONANP-26/2005,Área Comunitaria Protegida San Isidro,5308.0,San Pedro Huamelula,Oaxaca,2005,,Comunidad (Bienes comunales),Frontera Sur Istmo y Pacífico Sur
12,CONANP-29/2006,Zona de Reserva Ecológica Comunal de San Juan Teponaxtla,4000.0,San Juan Tepehuxila,Oaxaca,2006,,Comunidad (Bienes comunales),Frontera Sur Istmo y Pacífico Sur
13,CONANP-30-BIS 1/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 1Z-1 P1/1,2.632599,Amatlan de Reyes,Veracruz,2006,30.0,Ejido (Parcela),Planicie Costera y Golfo de México
14,CONANP-30-BIS 2/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 2Z-1 P1/1,7.358554,Amatlan de Reyes,Veracruz,2006,30.0,Ejido (Parcela),Planicie Costera y Golfo de México
15,CONANP-30-BIS 3/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 3Z-1 P1/1,4.500508,Amatlan de Reyes,Veracruz,2006,30.0,Ejido (Parcela),Planicie Costera y Golfo de México
16,CONANP-30-BIS 4/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 4Z-1 P1/1,9.99061,Amatlan de Reyes,Veracruz,2006,30.0,Ejido(Parcela),Planicie Costera y Golfo de México
17,CONANP-30-BIS 5/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 5Z-1 P1/1,2.889649,Amatlan de Reyes,Veracruz,2006,30.0,Ejido (Parcela),Planicie Costera y Golfo de México
