Conjunto de datos,Descripción del conjunto de datos,Recurso de datos,Descripción del recurso de datos,Fecha publicación 2026,Periodicidad de publicación,Área que genera el recurso de datos,Importancia del recurso,Población objetivo o sector de uso
Mapa de conflictos (Observatorio Mexicano de Conflictos por el Agua - OMCA),"Aporta datos relevantes que facilitan el diseñar estrategias para la prevención, mediación y posibles soluciones de los conflictos, a quienes toman las decisiones,  información administrada por Observatorio Mexicano de Conflictos por el Agua (OMCA).","Visualizar de manera georreferenciada los conflictos por el agua en el territorio mexicano, brindando una comprensión clara de su distribución geográfica.","Clasifica los conflictos mediante una propuesta tipológica que considera las causas, escalas y etapas de cada disputa. Los conflictos (históricos y actuales) se ubican en el mapa para permitir el análisis de su evolución, los actores involucrados y las acciones tomadas.",Julio,Anual,Subcoordinación de Participación Ciudadana y Derechos Humanos,"Es una herramienta digital de alto valor estratégico para la gestión hídrica, la investigación social y la defensa de derechos. Su importancia radica en sistematizar, visualizar y analizar las disputas por el agua en México, permitiendo entender la compleja dinámica socio-ambiental del recurso. ","Academico, estudiantil, Publico en general"
Banco de consulta hemerográfica (Observatorio Mexicano de Conflictos por el Agua - OMCA),"Constituye una base de datos que recopila noticias, artículos y reportajes relacionados con conflictos hídricos, facilitando la investigación y el análisis,  información administrada por Observatorio Mexicano de Conflictos por el Agua (OMCA).","Aporta datos relevantes que faciliten diseñar estrategias para la prevención, mediación y posibles soluciones de los conflictos, a quienes toman las decisiones.","Permite visualizar los conflictos geográficamente, conocer su evolución histórica y los actores involucrados, además de ofrecer una tipología de las principales problemáticas hídricas.",Julio,Anual,Subcoordinación de Participación Ciudadana y Derechos Humanos,"Recopila información sobre los procesos, intereses y aprendizajes de las comunidades, incluyendo la huella de las mujeres en la defensa del agua.

Permite mapear los conflictos relacionados con la contaminación de aguas (superficiales/subterráneas), despojo de recursos y la escasez, documentando casos de impacto directo en la salud y la calidad de vida.","Academico, estudiantil, Publico en general"
Datos generales y numeralias (Observatorio Mexicano de Conflictos por el Agua - OMCA),"Información detallada sobre las características de los conflictos, como los temas principales, las regiones afectadas y el nivel geográfico de los mismos, desde lo local hasta lo estatal y regional,  información administrada por Observatorio Mexicano de Conflictos por el Agua (OMCA).","Herramienta informativa y de análisis sobre las disputas hídricas en México, proporciona datos concretos sobre los conflictos por el agua, ofrece un análisis profundo y una contextualización de los mismos. ","Monitorea, documenta y analiza conflictos por el agua de relevancia nacional para su estudio y visibilización. Ofrece un enfoque geográfico, localizando los conflictos a lo largo del país. ",Julio,Anual,Subcoordinación de Participación Ciudadana y Derechos Humanos,"Visibiliza, analiza y gestiona las disputas hídricas en México. Su importancia radica en proporcionar una base de datos estructurada y hemerográfica que transforma eventos dispersos en información estratégica para la toma de decisiones, la investigación y la acción social. ","Academico, estudiantil, Publico en general"
Componentes clave del Sistema de Información de Organizaciones Locales del Agua (SI-OLA),"Información detallada sobre organizaciones de la sociedad civil, comités rurales y formas organizativas comunitarias dedicadas a la gestión del agua para consumo humano.","Permite consultar datos a nivel nacional, estatal, municipal y por localidad. 

Incluye capas de información para cruzar datos con Regiones Hidrológicas Administrativas y subcuencas, como la del Río Apatlaco en Morelos.

Datos sobre el tipo de organización, ubicación geográfica, y el contexto social de la gestión del agua rural.","Herramienta de consulta pública, abierta y gratuita que hace visible la labor de las organizaciones que localmente manejan sistemas de agua para uso doméstico y consumo humano, en ocasiones, de manera autónoma e independiente de las instancias de gobierno (organismos operadores de agua) y permite conocer, recopilar y compartir información actualizada de las Organizaciones Locales del Agua (OLA) en México.",Julio,Anual,Subcoordinación de Participación Ciudadana y Derechos Humanos,"Funge como una plataforma clave para recopilar, organizar y difundir información sobre la gestión comunitaria del agua en México, facilitando la investigación, el fortalecimiento y la toma de decisiones informadas en el sector hídrico. ","Academico, estudiantil, Publico en general"
"Variables hidrológicas: precipitación, humedad del suelo y escurrimiento. (Monitor de Sequias de Mesoamerica - Tzolkin)","Proporcionan variables hidrológicas clave como precipitación, humedad del suelo y escurrimiento.

","Permite la identificación espacio-temporal de la magnitud y severidad de la sequía en regiones sin información terrestre directa.

Esta plataforma permite identificar sequías agrícolas, hidrológicas y socioeconómicas mediante un enfoque multivariado.","Los mapas de sequía identifican de manera objetiva la evolución espacio-temporal de la magnitud y severidad de la sequía en México, Centroamérica, Colombia y el Caribe, considerando diferentes escalas temporales (1, 3, 6, 9 y 12 meses).

Se usan índices multivariados de variables ambientales obtenidas del sistema de asimilación de datos y reanálisis MERRA-2 (Modern-Era Retrospective Analysis for Research and Applications) de la Agencia Norteamericana de Administración del Espacio y Aeronáutica (NASA).",Julio,Anual,Coordinación de Seguridad Hídrica,"Proporciona información oportuna y accesible para la caracterización y monitoreo de la sequía en la región, lo que a su vez apoya la toma de decisiones informadas en la gestión del agua y la seguridad alimentaria. ","Academico, estudiantil, Publico en general"
OOAPAS participantes (Generales) - PIGOO,"Evalúa y recopila datos generales de los Organismos Operadores de Agua Potable, Alcantarillado y Saneamiento (OOAPAS) en México para medir su desempeño. ",Evalúa el desempeño de los organismos operadores de agua potable en México. ,"Herramienta integral que permite medir, monitorear y evaluar el desempeño de los organismos operadores participantes de manera sistemática.",Julio,Anual,Coordinación de Sistemas Hídricos,"Herramienta fundamental que evalúa el desempeño de los Organismos Operadores de Agua Potable, Alcantarillado y Saneamiento (OOAPAS) en México, permitiendo medir su eficiencia operativa, financiera y comercial.

La participación de los OOAPAS en el PIGOO es crucial para mejorar la calidad de vida de los habitantes, al permitir la identificación de áreas de oportunidad y la toma de decisiones basadas en datos técnicos.","Academico, estudiantil, Publico en general"
Indicadores calculados (todas las Ediciones) - PIGOO,"Evaluar el desempeño de los organismos operadores de agua potable en México, abarcando áreas operacionales, comerciales, financieras y de calidad, con datos proporcionados directamente por los OOAPAS participantes.",Fichas descriptivas de 32 indicadores de PIGOO.,"Permite a los Organismos Operadores de Agua (OOAPAS) medir, monitorear y evaluar su desempeño de forma sistemática, usando indicadores de gestión. ",Julio,Anual,Coordinación de Sistemas Hídricos,"Evalúa el desempeño de los organismos operadores de agua potable en México. La importancia de este recurso radica en su capacidad para transformar datos crudos en información cuantitativa comparable, permitiendo una gestión integral y la mejora continua en la eficiencia de los servicios de agua, alcantarillado y tratamiento.","Academico, estudiantil, Publico en general"
Indicadores promedio - PIGOO,"Proporciona datos, indicadores y promedios comparativos sobre la eficiencia, calidad y costos de los servicios de agua potable, alcantarillado y saneamiento en México.",Fichas descriptivas de 68 variables solicitadas en para participar en PIGOO.,"Al monitorear constantemente los indicadores, se pueden implementar acciones correctivas y de mejora de forma proactiva.",Julio,Anual,Coordinación de Sistemas Hídricos,"Evalúa, estandariza y mejora la eficiencia de los servicios de agua potable, alcantarillado y saneamiento en México. Permite a los organismos operadores (OO) medir su desempeño, identificar áreas de oportunidad y tomar decisiones basadas en datos para fortalecer la sostenibilidad del recurso hídrico. ","Academico, estudiantil, Publico en general"
Datos de Disponibilidad Hídrica - “Agua y Minería” ,"Información sobre acuíferos, incluyendo el balance de agua y disponibilidad de agua subterránea. (SIG “Agua y Minería”)","Analizar la interacción entre la minería y el agua en México. Incluye concesiones de agua, volúmenes utilizados, ubicación de minas y disponibilidad de agua en acuíferos.
","Información sobre acuíferos, incluyendo el balance de agua y disponibilidad de agua subterránea.",Julio,Anual,Coordinación de Seguridad Hídrica,"La disponibilidad de datos sobre el agua en el sector minero, a menudo sintetizados en el concepto ""Agua y Minería"", es de importancia estratégica y crítica para la sostenibilidad ambiental, la viabilidad operativa y la coexistencia armónica con las comunidades. Estos datos permiten gestionar el riesgo hídrico, optimizar el uso de este recurso vital y garantizar que las operaciones no comprometan el abastecimiento local. ","Academico, estudiantil, Publico en general"
Información Minera - “Agua y Minería” ,Datos sobre las concesiones mineras y la interacción geográfica con los recursos hídricos. (SIG “Agua y Minería”),"permite identificar el volumen de agua utilizado por la industria minera, aunque puede presentar limitaciones al rastrear razones sociales exactas debido a la asignación de títulos por titular y no por empresa.",Datos sobre las concesiones mineras y la interacción geográfica con los recursos hídricos.,Julio,Anual,Coordinación de Seguridad Hídrica,"El recurso de datos e información minera, específicamente enfocado en la relación “Agua y Minería”, es crucial para la gestión sostenible, la toma de decisiones informada y la transparencia en una de las industrias que más recursos hídricos demanda. ","Academico, estudiantil, Publico en general"
