entidad,inspeccion,recorrido,operativo
Aguascalientes,12,7,2
Baja California,23,13,4
Baja California Sur,53,35,3
Campeche,22,7,21
Chiapas,61,32,3
Chihuahua,37,10,1
Coahuila,22,5,5
Colima,31,10,1
Durango,76,9,3
Guanajuato,7,0,0
Guerrero,29,5,3
Hidalgo,58,10,12
Jalisco,17,0,3
México,92,13,34
Michoacán,112,17,14
Morelos,30,8,14
Nayarit,18,10,7
Nuevo León,13,2,0
Oaxaca,56,8,4
Puebla,52,7,6
Querétaro,34,8,3
Quintana Roo,29,28,1
San Luis Potosí,44,6,7
Sinaloa,30,7,1
Sonora,16,8,2
Tabasco,4,5,2
Tamaulipas,27,0,0
Tlaxcala,34,6,2
Veracruz,41,13,5
Yucatán,90,71,20
Zacatecas,33,29,4
ZMVM,22,27,2
O.C.,41,112,19
